user_prompt,reference,hypothesis,rouge1_fmeasure,rouge2_fmeasure,rougeL_fmeasure,granular_bleu_score
For field 'policy_renewal_date': Ensure the format of datetime strings is consistent with '%Y-%m-%d'. Validate that no renewal dates are before the policy start date.,"expect_column_values_to_match_strftime_format(column=""policy_renewal_date"", strftime_format=""%Y-%m-%d""),expect_column_pair_values_A_to_be_greater_than_B(column_A=""policy_renewal_date"", column_B=""policy_start_date"")","expect_column_values_to_match_strftime_format(column=""policy_renewal_date"", strftime_format=""%Y-%m-%d""),expect_column_values_to_be_greater_than(column=""policy_renewal_date"", value=""policy_start_date"")",0.8955223880597015,0.7384615384615385,0.8955223880597015,78.38980450011162
Ensure the `SKU` column contains only unique values and does not allow null entries.,"expect_column_values_to_be_unique(column=""SKU""),expect_column_values_to_not_be_null(column=""SKU"")","expect_column_to_exist(column=""SKU""),expect_column_values_to_not_be_null(column=""SKU""),expect_column_values_to_be_unique(column=""SKU"")",0.85,0.8421052631578948,0.7,71.41300691065217
"For the `agent_id` field: Confirm that it has unique values, matches the type 'integer', and does not allow null entries.","expect_column_values_to_be_unique(column=""agent_id""),expect_column_values_to_be_of_type(column=""agent_id"", type_=""integer""),expect_column_values_to_not_be_null(column=""agent_id"")","expect_column_values_to_be_unique(column=""agent_id""),expect_column_values_to_be_of_type(column=""agent_id"", type_=""int""),expect_column_values_to_not_be_null(column=""agent_id"")",0.967741935483871,0.9333333333333333,0.967741935483871,96.46458712936789
Check that the `salary` column contains values greater than zero and is of type 'numeric'.,"expect_column_values_to_be_greater_than(column=""salary"", value=0),expect_column_values_to_be_of_type(column=""salary"", type_=""numeric"")","expect_column_values_to_be_between(column=""salary"", min_value=0),expect_column_values_to_be_of_type(column=""salary"", type_=""numeric"")ЎыџNЎыџN",0.8695652173913043,0.7727272727272727,0.8695652173913043,86.61821352954148
Ensure the number of rows in the `routes` table is equal to the number of entries in the `trucks` table.,"expect_table_row_count_to_equal_other_table(table=""routes"", other_table=""trucks"")","expect_table_row_count_to_be_between(table=""routes"", min_value=0, max_value=trucks_row_count)",0.5333333333333333,0.35714285714285715,0.5333333333333333,43.22131067610315
Check that the `peak_demand` values have a mean of `2000` kWh and a maximum value not exceeding `5000` kWh.,"expect_column_mean_to_be_between(column=""peak_demand"", min_value=2000, max_value=2000),expect_column_max_to_be_between(column=""peak_demand"", max_value=5000)","expect_column_mean_to_be_between(column=""peak_demand"", min_value=2000, max_value=5000),expect_column_max_to_be_between(column=""peak_demand"", max_value=5000)",0.9629629629629629,0.9230769230769231,0.9629629629629629,95.59112197162901
"Ensure the `tariff_type` column values are within the set `['Residential', 'Commercial', 'Industrial']`.","expect_column_values_to_be_in_set(column=""tariff_type"", value_set=['Residential', 'Commercial', 'Industrial'])","expect_column_values_to_be_in_set(column=""tariff_type"", value_set=['Residential', 'Commercial', 'Industrial'])",1.0,1.0,1.0,100.00000000000004
For the `word_count` field: Validate that all entries are integers within the range of 100 to 5000.,"expect_column_values_to_be_of_type(column=""word_count"", type_=""int""),expect_column_values_to_be_between(column=""word_count"", min_value=100, max_value=5000)","expect_column_values_to_be_of_type(column=""word_count"", type_=""int""),expect_column_values_to_be_between(column=""word_count"", min_value=100, max_value=5000)",1.0,1.0,1.0,100.00000000000004
Ensure the `json_metadata` column contains valid JSON objects and adheres to the specified JSON schema.,"expect_column_values_to_be_json_parseable(column=""json_metadata""),expect_column_values_to_match_json_schema(column=""json_metadata"", schema=""your_json_schema_here"")","expect_column_values_to_be_json_parseable(column=""json_metadata""),expect_column_values_to_match_json_schema(column=""json_metadata"", schema={""type"": ""object""})",0.8749999999999999,0.8695652173913043,0.8749999999999999,83.25176000164102
"For field 'meta_tags': Validate that the entries are valid JSON arrays, ensuring all tags are strings and follow the specified naming conventions.","expect_column_values_to_be_json_parseable(column=""meta_tags""),expect_column_values_to_match_json_schema(column=""meta_tags"", schema={""type"": ""array"", ""items"": {""type"": ""string""}})","expect_column_values_to_be_json_parseable(column=""meta_tags""),expect_column_values_to_match_json_schema(column=""meta_tags"", schema={""type"": ""array"", ""items"": {""type"": ""string"", ""pattern"": ""^meta-\\d+$""}}),expect_column_values_to_be_unique(column=""meta_tags"")",0.8125000000000001,0.8064516129032258,0.8125000000000001,65.76743089889747
