user_prompt,reference,hypothesis,rouge1_fmeasure,rouge2_fmeasure,rougeL_fmeasure,granular_bleu_score
"Check that the `threat_level` column has values that are either 'Low', 'Medium', or 'High', ensuring uniqueness.","expect_column_values_to_be_in_set(column=""threat_level"", value_set=[""Low"", ""Medium"", ""High""]),expect_column_values_to_be_unique(column=""threat_level"")","expect_column_values_to_be_in_set(column=""threat_level"", value_set=['Low', 'Medium', 'High']),expect_column_values_to_be_unique(column=""threat_level"")",1.0,1.0,1.0,79.47440347019332
For field 'appointment_date': Ensure the field is required (not null). Ensure the field matches the type 'date'. Ensure this field does not accept future dates.,"expect_column_values_to_not_be_null(column=""appointment_date""),expect_column_values_to_be_of_type(column=""appointment_date"", type_=""date""),expect_column_values_to_be_between(column=""appointment_date"", min_value=""1900-01-01"", max_value=""current_date"")","expect_column_values_to_not_be_null(column=""appointment_date""),expect_column_values_to_be_of_type(column=""appointment_date"", type_=""date""),expect_column_values_to_be_between(column=""appointment_date"", min_value=""1900-01-01"", max_value=""today"")  # Replace today with the current date.",0.9411764705882353,0.9156626506024097,0.9411764705882353,90.16695654343552
"For field 'group_id': Ensure the field can be null. Ensure the field matches the type 'numeric'. Validate that all group IDs, if present, are unique and range from 1 to 10,000.","expect_column_values_to_be_null(column=""group_id""),expect_column_values_to_be_of_type(column=""group_id"", type_=""numeric""),expect_column_values_to_be_between(column=""group_id"", min_value=1, max_value=10000),expect_column_values_to_be_unique(column=""group_id"")","expect_column_values_to_be_null(column=""group_id""),expect_column_values_to_be_of_type(column=""group_id"", type_=""numeric""),expect_column_values_to_be_unique(column=""group_id""),expect_column_values_to_be_between(column=""group_id"", min_value=1, max_value=10000)  # Replace 10000 with your desired max value.",0.9278350515463918,0.9052631578947369,0.7628865979381444,91.24388123877263
"Ensure that the table has at least 30 rows, representing daily weather forecasts for a month. Each row must have a corresponding `location`.","expect_table_row_count_to_be_between(min_value=30, max_value=None),expect_column_to_exist(column=""location""),expect_column_values_to_not_be_null(column=""location"")","expect_table_row_count_to_be_between(min_value=30),expect_column_values_to_be_unique(column=""location"")  # Assuming the table has a column named ""location"" with unique values.",0.7017543859649122,0.4727272727272727,0.5964912280701754,55.92300225716974
Ensure the distribution of `attendance` percentages passes the Chi-Square test with a p-value greater than 0.05.,"expect_column_chisquare_test_p_value_to_be_greater_than(column=""attendance"", threshold=0.05)","expect_column_chisquare_test_p_value_to_be_greater_than(column=""attendance"", threshold=0.05)",1.0,1.0,1.0,100.00000000000004
"For the `product_sku` column, ensure all values match the regex pattern `^[A-Z]{2}-[0-9]{5}$` and that each SKU is unique.","expect_column_values_to_match_regex(column=""product_sku"", regex=r""^[A-Z]{2}-[0-9]{5}$""),expect_column_values_to_be_unique(column=""product_sku"")","expect_column_values_to_match_regex(column=""product_sku"", regex=r""^[A-Z]{2}-[0-9]{5}$""),expect_column_values_to_be_unique(column=""product_sku"")  # Note: This expectation may not be necessary depending on your specific requirements.",0.8125000000000001,0.8064516129032258,0.8125000000000001,80.64064803235935
Ensure the `length_of_stay` column contains integer values that are greater than or equal to 1.,"expect_column_values_to_be_of_type(column=""length_of_stay"", type_=""int""),expect_column_values_to_be_between(column=""length_of_stay"", min_value=1)","expect_column_values_to_be_between(column=""length_of_stay"", min_value=1)",0.6666666666666666,0.6486486486486487,0.6666666666666666,31.890655732397057
Ensure the `engagement_rate` column values are between 0 and 1 and calculated as the ratio of interactions to impressions.,"expect_column_values_to_be_between(column=""engagement_rate"", min_value=0, max_value=1),expect_multicolumn_sum_to_equal(column_A=""interactions"", column_B=""impressions"", sum_value=1)","expect_column_values_to_be_between(column=""engagement_rate"", min_value=0, max_value=1),expect_column_values_to_be_of_type(column=""engagement_rate"", type_=""float"")  # Note: This expectation assumes that the column values are of type float. If this assumption is incorrect, modify the expectation accordingly.",0.5194805194805195,0.4,0.5194805194805195,45.54826120676378
"For the `match_date` column, check that all dates are formatted as 'MM-DD-YYYY' and can be parsed correctly.","expect_column_values_to_match_strftime_format(column=""match_date"", strftime_format=""%m-%d-%Y""),expect_column_values_to_be_dateutil_parseable(column=""match_date"")","expect_column_values_to_match_strftime_format(column=""match_date"", strftime_format=""%m-%d-%Y""),expect_column_values_to_be_dateutil_parseable(column=""match_date"")  # This assumes that you're using the dateutil library. If not, you'll need to replace this with the appropriate expectation.",0.704225352112676,0.6956521739130436,0.704225352112676,71.0622929198242
"Check that the mean of the `claims_per_policy` column is less than or equal to 3, indicating a reasonable claims ratio.","expect_column_mean_to_be_between(column=""claims_per_policy"", min_value=None, max_value=3)","expect_column_mean_to_be_between(column=""claims_per_policy"", min_value=0, max_value=3)",0.9375,0.8666666666666667,0.9375,92.10500207490826
"For the `property_type` field: Ensure the values belong to the set `['Residential', 'Commercial', 'Industrial']`.","expect_column_values_to_be_in_set(column=""property_type"", value_set=['Residential', 'Commercial', 'Industrial'])","expect_column_values_to_be_in_set(column=""property_type"", value_set=['Residential', 'Commercial', 'Industrial'])",1.0,1.0,1.0,100.00000000000004
"For the `report_date`, ensure the values are not in the future and are formatted as 'MM-DD-YYYY'.","expect_column_values_to_be_dateutil_parseable(column=""report_date""),expect_column_values_to_match_strftime_format(column=""report_date"", strftime_format=""%m-%d-%Y""),expect_column_values_to_be_in_set(column=""report_date"", value_set=[date for date in pd.date_range(start='1900-01-01', end=pd.Timestamp.now())])","expect_column_values_to_be_between(column=""report_date"", min_value=""1900-01-01"", max_value=""today""),expect_column_values_to_match_strftime_format(column=""report_date"", strftime_format=""%m-%d-%Y"")",0.6666666666666667,0.5365853658536586,0.5476190476190477,44.06716968612383
"For field 'data_collection_method': Ensure the field is required (not null). Ensure values in 'data_collection_method' must exist in the set ('survey', 'experiment', 'observation').","expect_column_values_to_not_be_null(column=""data_collection_method""),expect_column_values_to_be_in_set(column=""data_collection_method"", value_set=[""survey"", ""experiment"", ""observation""])","expect_column_values_to_not_be_null(column=""data_collection_method""),expect_column_values_to_be_in_set(column=""data_collection_method"", value_set=['survey', 'experiment', 'observation'])",1.0,1.0,1.0,81.78827632627952
For field 'last_active': Ensure the field matches the type 'datetime'. Ensure there are no missing values.,"expect_column_values_to_be_of_type(column=""last_active"", type_=""datetime""),expect_column_values_to_not_be_null(column=""last_active"")","expect_column_values_to_be_of_type(column=""last_active"", type_=""datetime""),expect_column_values_to_not_be_null(column=""last_active"")",1.0,1.0,1.0,100.00000000000004
