user_prompt,generated_expectations
For field 'processed_timestamp': Ensure the field is required (not null). Ensure the field matches the type 'timestamp'. Ensue this field exist,"expect_column_to_exist(column=""processed_timestamp"")
                                    expect_column_values_to_not_be_null(column=""processed_timestamp"")
                                    expect_column_values_to_be_of_type(column=""processed_timestamp"", type_=""timestamp"")"
For field 'order_timestamp': Ensure the field is required (not null). Ensure the field matches the type 'timestamp'. Ensue this field exist,"expect_column_to_exist(column=""order_timestamp"")
                                    expect_column_values_to_not_be_null(column=""order_timestamp"")
                                    expect_column_values_to_be_of_type(column=""order_timestamp"", type_=""timestamp"")"
For field 'order_total': Ensure the field is required (not null). Ensure the field matches the type 'long'. Ensue this field exist,"expect_column_to_exist(column=""order_total"")
                                    expect_column_values_to_not_be_null(column=""order_total"")
                                    expect_column_values_to_be_of_type(column=""order_total"", type_=""long"")"
For field 'customer_id': Ensure the field matches the type 'text'. Ensure the field has a maximum length of 20. Ensure the field has a minimum length of 10. Ensue this field exist,"expect_column_to_exist(column=""customer_id"")
                                    expect_column_value_lengths_to_be_between(column=""customer_id"", min_value=10, max_value=20)
                                    expect_column_values_to_be_of_type(column=""customer_id"", type_=""text"")"
For field 'order_id': Ensure the field is required (not null). Ensure the field has unique values. This field should be treated as a primary key. Ensue this field exist,"expect_column_to_exist(column=""order_id"")
                                    expect_column_values_to_not_be_null(column=""order_id"")
                                    expect_column_values_to_be_unique(column=""order_id"")"
Data quality requirements for field 'order_id': duplicate_count(order_id) = 0.,"expect_column_values_to_be_unique(column=""order_id"")"
For field 'customer_email_address': Ensure the field is required (not null). Ensure the field matches the type 'text'. Ensure the field matches the format 'email'. This field contains Personally Identifiable Information (PII).,"expect_column_values_to_not_be_null(column=""customer_email_address"")
                                    expect_column_values_to_be_of_type(column=""customer_email_address"", type_=""text"")
                                    expect_column_values_to_match_regex(column=""customer_email_address"", regex=r""^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,}$"")"
For field 'lines_item_id': Ensure the field is required (not null). Ensure the field has unique values. Ensure the field matches the type 'text'. This field should be treated as a primary key. Ensue this field exist,"expect_column_to_exist(column=""lines_item_id"")
                                    expect_column_values_to_not_be_null(column=""lines_item_id"")
                                    expect_column_values_to_be_unique(column=""lines_item_id"")
                                    expect_column_values_to_be_of_type(column=""lines_item_id"", type_=""text"")"
For field 'sku': Ensue this field exist,"expect_column_to_exist(column=""sku"")"
For field 'order_id': Ensue this field exist,"expect_column_to_exist(column=""order_id"")"
Data quality requirements for field 'order_id': values in (order_id) must exist in orders (order_id).,"expect_column_values_to_be_in_set(column=""order_id"", value_set=orders['order_id'].tolist())"
checks for line_items values in (order_id) must exist in orders (order_id),"expect_column_pair_values_to_be_in_set(column_A=""line_items.order_id"", column_B=""orders.order_id"", value_set=orders.order_id)"
checks for line_items row_count >= 5,"expect_table_row_count_to_be_between(column=""line_item"",min_value=5)"
checks for orders row_count >= 5,"expect_table_row_count_to_be_between(column=""order""min_value=5)"
checks for orders duplicate_count(order_id) = 0,"expect_column_values_to_be_unique(column=""order_id"")"
For field 'payment_method': Ensure the field is required (not null). Ensure the field matches the type 'text'. Ensure this field exists.,"expect_column_to_exist(column=""payment_method"")
                                    expect_column_values_to_not_be_null(column=""payment_method"")
                                    expect_column_values_to_be_of_type(column=""payment_method"", type_=""text"")"
For field 'refund_status': Ensure the field is required (not null). Ensure the field matches the type 'text'. Ensure this field exists.,"expect_column_to_exist(column=""refund_status"")
                                    expect_column_values_to_not_be_null(column=""refund_status"")
                                    expect_column_values_to_be_of_type(column=""refund_status"", type_=""text"")"
For field 'transaction_id': Ensure the field is required (not null). Ensure the field matches the type 'text'. Ensure this field exists.,"expect_column_to_exist(column=""transaction_id"")
                                    expect_column_values_to_not_be_null(column=""transaction_id"")
                                    expect_column_values_to_be_of_type(column=""transaction_id"", type_=""text"")"
For field 'delivery_date': Ensure the field is required (not null). Ensure the field matches the type 'date'. Ensure this field exists.,"expect_column_to_exist(column=""delivery_date"")
                                    expect_column_values_to_not_be_null(column=""delivery_date"")
                                    expect_column_values_to_be_of_type(column=""delivery_date"", type_=""date"")"
For field 'product_description': Ensure the field is required (not null). Ensure the field matches the type 'text'. Ensure this field exists.,"expect_column_to_exist(column=""product_description"")
                                    expect_column_values_to_not_be_null(column=""product_description"")
                                    expect_column_values_to_be_of_type(column=""product_description"", type_=""text"")"
For field 'vendor_id': Ensure the field is required (not null). Ensure the field matches the type 'text'. Ensure this field exists.,"expect_column_to_exist(column=""vendor_id"")
                                    expect_column_values_to_not_be_null(column=""vendor_id"")
                                    expect_column_values_to_be_of_type(column=""vendor_id"", type_=""text"")"
For field 'warehouse_location': Ensure the field is required (not null). Ensure the field matches the type 'text'. Ensure this field exists.,"expect_column_to_exist(column=""warehouse_location"")
                                    expect_column_values_to_not_be_null(column=""warehouse_location"")
                                    expect_column_values_to_be_of_type(column=""warehouse_location"", type_=""text"")"
For field 'category_name': Ensure the field is required (not null). Ensure the field matches the type 'text'. Ensure this field exists.,"expect_column_to_exist(column=""category_name"")
                                    expect_column_values_to_not_be_null(column=""category_name"")
                                    expect_column_values_to_be_of_type(column=""category_name"", type_=""text"")"
For field 'supplier_email': Ensure the field is required (not null). Ensure the field matches the type 'text'. Ensure this field exists.,"expect_column_to_exist(column=""supplier_email"")
                                    expect_column_values_to_not_be_null(column=""supplier_email"")
                                    expect_column_values_to_be_of_type(column=""supplier_email"", type_=""text"")"
For field 'shipment_tracking_number': Ensure the field is required (not null). Ensure the field matches the type 'text'. Ensure this field exists.,"expect_column_to_exist(column=""shipment_tracking_number"")
                                    expect_column_values_to_not_be_null(column=""shipment_tracking_number"")
                                    expect_column_values_to_be_of_type(column=""shipment_tracking_number"", type_=""text"")"
For field 'user_age': Ensure the field is required (not null). Ensure the field matches the type 'integer'. Ensure the field contains values greater than 18. Ensure this field exists.,"expect_column_to_exist(column=""user_age"")
                                    expect_column_values_to_not_be_null(column=""user_age"")
                                    expect_column_values_to_be_of_type(column=""user_age"", type_=""int"")
                                    expect_column_values_to_be_greater_than(column=""user_age"", value=18)"
For field 'registration_date': Ensure the field matches the type 'date'. Ensure the field contains values less than or equal to the current date. Ensure this field exists.,"expect_column_to_exist(column=""registration_date"")
                                    expect_column_values_to_be_of_type(column=""registration_date"", type_=""date"")
                                    expect_column_values_to_be_between(column=""registration_date"", min_value=None, max_value=datetime.datetime.now().date())"
For field 'is_active': Ensure the field matches the type 'boolean'. Ensure this field exists.,"expect_column_to_exist(column=""is_active"")
                                    expect_column_values_to_be_of_type(column=""is_active"", type_=""boolean"")"
For field 'postal_code': Ensure the field matches the type 'text'. Ensure the field matches the format 'ZIP'. Ensure this field exists.,"expect_column_to_exist(column=""postal_code"")
                                    expect_column_values_to_be_of_type(column=""postal_code"", type_=""text"")
                                    expect_column_values_to_match_regex(column=""postal_code"", regex=r""^\d{5}(-\d{4})?$"")"
For field 'loyalty_points': Ensure the field matches the type 'integer'. Ensure the field contains values greater than or equal to 0. Ensure this field exists.,"expect_column_to_exist(column=""loyalty_points"")
                                    expect_column_values_to_be_of_type(column=""loyalty_points"", type_=""int"")
                                    expect_column_values_to_be_between(column=""loyalty_points"", min_value=0, max_value=None)"
For field 'promotion_code': Ensure the field matches the type 'text'. Ensure the field contains unique values. Ensure this field exists.,"expect_column_to_exist(column=""promotion_code"")
                                    expect_column_values_to_be_of_type(column=""promotion_code"", type_=""text"")
                                    expect_column_values_to_be_unique(column=""promotion_code"")"
For field 'review_rating': Ensure the field matches the type 'decimal'. Ensure the field contains values between 1.0 and 5.0. Ensure this field exists.,"expect_column_to_exist(column=""review_rating"")
                                    expect_column_values_to_be_of_type(column=""review_rating"", type_=""decimal"")
                                    expect_column_values_to_be_between(column=""review_rating"", min_value=1.0, max_value=5.0)"
For field 'feedback_comments': Ensure the field matches the type 'text'. Ensure the field has a maximum length of 500. Ensure this field exists.,"expect_column_to_exist(column=""feedback_comments"")
                                    expect_column_value_lengths_to_be_between(column=""feedback_comments"", min_value=0, max_value=500)
                                    expect_column_values_to_be_of_type(column=""feedback_comments"", type_=""text"")"
For field 'manager_id': Ensure the field matches the type 'text'. Ensure values in (manager_id) must exist in employees (employee_id). Ensure this field exists.,"expect_column_to_exist(column=""manager_id"")
                                    expect_column_values_to_be_of_type(column=""manager_id"", type_=""text"")
                                    expect_column_values_to_be_in_set(column=""manager_id"", value_set=employees[""employee_id""])"
For field 'budget': Ensure the field matches the type 'decimal'. Ensure the field contains values greater than or equal to 1000. Ensure this field exists.,"expect_column_to_exist(column=""budget"")
                                    expect_column_values_to_be_of_type(column=""budget"", type_=""decimal"")
                                    expect_column_values_to_be_between(column=""budget"", min_value=1000, max_value=None)"
