Category,Expectations,Pandas,SQL,Spark,,,,
Table shape,expect_column_to_exist,Y,Y,Y,,,,
,expect_table_columns_to_match_ordered_list,Y,Y,Y,,,,
,expect_table_columns_to_match_set,Y,Y,Y,,,,
,expect_table_row_count_to_be_between,Y,Y,Y,,,,
,expect_table_row_count_to_equal,Y,Y,Y,,,,
,expect_table_row_count_to_equal_other_table,N,Y,N,,,,
"Missing values, unique values, and types",expect_column_values_to_be_unique,Y,Y,Y,,Uniqueness,Accuracy,
,expect_column_values_to_not_be_null,Y,Y,Y,,Completeness,Accuracy,Validity
,expect_column_values_to_be_null,Y,Y,Y,,Completeness,Accuracy,Validity
,expect_column_values_to_be_of_type,Y,Y,Y,,Validity,Accuracy,
,expect_column_values_to_be_in_type_list,Y,Y,Y,,Validity,Accuracy,
Sets and ranges,expect_column_values_to_be_in_set,Y,Y,Y,,Consistency,Accuracy,
,expect_column_values_to_not_be_in_set,Y,Y,Y,,Validity,Accuracy,
,expect_column_values_to_be_between,Y,Y,Y,,Validity,Accuracy,
,expect_column_values_to_be_increasing,Y,N,Y,,Validity,Accuracy,
,expect_column_values_to_be_decreasing,Y,N,Y,,Validity,Accuracy,
String matching,expect_column_value_lengths_to_be_between,Y,Y,Y,,Consistency,Accuracy,
,expect_column_value_lengths_to_equal,Y,Y,Y,,Consistency,Accuracy,
,expect_column_values_to_match_regex,Y,Y,Y,,Consistency,Accuracy,
,expect_column_values_to_not_match_regex,Y,Y,Y,,Consistency,Accuracy,
,expect_column_values_to_match_regex_list,Y,Y,Y,,Consistency,Accuracy,
,expect_column_values_to_not_match_regex_list,Y,Y,Y,,Consistency,Accuracy,
,expect_column_values_to_match_like_pattern,N,Y,N,,Consistency,Accuracy,
,expect_column_values_to_not_match_like_pattern,N,Y,N,,Consistency,Accuracy,
,expect_column_values_to_match_like_pattern_list,N,Y,N,,Consistency,Accuracy,
,expect_column_values_to_not_match_like_pattern_list,N,Y,N,,Consistency,Accuracy,
Datetime and JSON parsing,expect_column_values_to_match_strftime_format,Y,N,Y,,Consistancy,Accuracy,
,expect_column_values_to_be_dateutil_parseable,Y,N,N,,,Accuracy,
,expect_column_values_to_be_json_parseable,Y,N,Y,,,Accuracy,
,expect_column_values_to_match_json_schema,Y,N,Y,,,Accuracy,
Aggregate functions,expect_column_parameterized_distribution_ks_test_p_value_to_be_greater_than *,Y,N,N,,Validity,Accuracy,
,expect_column_distinct_values_to_equal_set,Y,Y,Y,,,Accuracy,
,expect_column_distinct_values_to_contain_set,Y,Y,Y,,,Accuracy,
,expect_column_mean_to_be_between,Y,Y,Y,,,Accuracy,
,expect_column_median_to_be_between,Y,Y,Y,,,Accuracy,
,expect_column_stdev_to_be_between,Y,N,Y,,,Accuracy,
,expect_column_unique_value_count_to_be_between,Y,Y,Y,,,Accuracy,
,expect_column_proportion_of_unique_values_to_be_between,Y,Y,Y,,,Accuracy,
,expect_column_most_common_value_to_be_in_set,Y,Y,Y,,,Accuracy,
,expect_column_sum_to_be_between,Y,Y,Y,,,Accuracy,
,expect_column_min_to_be_between,Y,Y,Y,,,Accuracy,
,expect_column_max_to_be_between,Y,Y,Y,,,Accuracy,
Distributional functions,expect_column_chisquare_test_p_value_to_be_greater_than *,Y,Y,Y,,Validity,Accuracy,
,expect_column_bootstrapped_ks_test_p_value_to_be_greater_than *,Y,N,N,,,Accuracy,
,expect_column_kl_divergence_to_be_less_than,Y,Y,Y,,,Accuracy,
,expect_column_parameterized_distribution_ks_test_p_value_to_be_greater_than,,,,,,Accuracy,
Multi-column,expect_column_pair_values_A_to_be_greater_than_B,,,,,,,
,expect_column_pair_values_to_be_equal,,,,,,,
,expect_column_pair_values_to_be_in_set,,,,,,,
,expect_select_column_values_to_be_unique_within_record,,,,,,,
,expect_multicolumn_sum_to_equal,,,,,,,
,expect_column_pair_cramers_phi_value_to_be_less_than,,,,,,,
,expect_compound_columns_to_be_unique,,,,,,,
FileDataAsset,expect_file_line_regex_match_count_to_be_between,,,,,,,
,expect_file_line_regex_match_count_to_equal,,,,,,,
,expect_file_hash_to_equal,,,,,,,
,expect_file_size_to_be_between,,,,,,,
,expect_file_to_exist,,,,,,,
,expect_file_to_have_valid_table_header,,,,,,,
,expect_file_to_be_valid_json,,,,,,,
